artist,weeks,,,,,,,
DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross,24,,,,,
Chuck Wicks,24,,,,,,,
After The Fire,24,,,,,,,
John Travolta & Olivia Newton-John,24,,,,,,,
The Irish Rovers,24,,,,,,,
Elle King & Miranda Lambert,24,,,,,,,
Playboi Carti,24,,,,,,,
will.i.am & Britney Spears,24,,,,,,,
Gym Class Heroes Featuring Patrick Stump,24,,,,,,,
Nappy Roots,24,,,,,,,
Capleton,24,,,,,,,
Love And Rockets,24,,,,,,,
Coven,24,,,,,,,
Focus,24,,,,,,,
Jimmy Hughes,24,,,,,,,
O.A.R.,24,,,,,,,
Gang Starr,24,,,,,,,
Robin Gibb,24,,,,,,,
M,24,,,,,,,
B.J. Thomas And The Triumphs,24,,,,,,,
Gabby Barrett,24,,,,,,,
Sonique,24,,,,,,,
Charlie Puth Featuring Selena Gomez,24,,,,,,,
Kendrick Lamar Featuring Drake,24,,,,,,,
Owl City & Carly Rae Jepsen,24,,,,,,,
Mase Featuring Total,24,,,,,,,
Mitch Ryder,24,,,,,,,
The Capitols,24,,,,,,,
Danny & The Juniors,24,,,,,,,
Kalin Twins,24,,,,,,,
Change,24,,,,,,,
Otis & Carla,24,,,,,,,
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,24,,,,,,,
Cassidy Featuring R. Kelly,24,,,,,,,
N.O.R.E.,24,,,,,,,
Barbara Acklin,24,,,,,,,
Chris Kenner,24,,,,,,,
Drake Featuring Kanye West, Lil Wayne & Eminem,24,,,,,,
Pitbull Featuring Christina Aguilera,24,,,,,,,
Fat Joe Featuring Lil Wayne,24,,,,,,,
City High Featuring Eve,24,,,,,,,
Technotronic Featuring Felly,24,,,,,,,
Spirit,24,,,,,,,
David Houston,24,,,,,,,
Redman,23,,,,,,,
Lisa Keith,23,,,,,,,
Rick Derringer,23,,,,,,,
Arthur Lyman Group,23,,,,,,,
Mitchell Torok,23,,,,,,,
Pooh Shiesty Featuring Lil Durk,23,,,,,,,
Kane Brown Featuring Lauren Alaina,23,,,,,,,
Cheat Codes Featuring Demi Lovato,23,,,,,,,
Martin Garrix & Bebe Rexha,23,,,,,,,
George Ezra,23,,,,,,,
Three 6 Mafia Featuring Young Buck & Eightball & MJG,23,,,,,,,
Crazy Town,23,,,,,,,
Denise Lopez,23,,,,,,,
Andy Taylor,23,,,,,,,
Republica,23,,,,,,,
Nuttin' Nyce,23,,,,,,,
Louie Louie,23,,,,,,,
Paula Abdul (Duet With The Wild Pair),23,,,,,,,
Steam,23,,,,,,,
The Chantels,23,,,,,,,
Carl Mann,23,,,,,,,
Lana Del Rey & Cedric Gervais,23,,,,,,,
Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J,23,,,,,,
50 Cent Featuring Nate Dogg,23,,,,,,,
B*Witched,23,,,,,,,
KIX,23,,,,,,,
Herb Alpert's Tijuana Brass,23,,,,,,,
Nena,23,,,,,,,
Arthur Prysock,23,,,,,,,
Barry Mann,23,,,,,,,
Dave Loggins,23,,,,,,,
Clint Holmes,23,,,,,,,
The Vanilla Fudge,23,,,,,,,
Buck Owens,23,,,,,,,
Yung Bleu Featuring Drake,23,,,,,,,
We Five,23,,,,,,,
Zayn / Taylor Swift,23,,,,,,,
Rascal Flatts Featuring Natasha Bedingfield,23,,,,,,,
Huey,23,,,,,,,
The Wreckers,23,,,,,,,
A Perfect Circle,23,,,,,,,
Robbie Williams,23,,,,,,,
Lone Justice,23,,,,,,,
Kajagoogoo,23,,,,,,,
The Marmalade,23,,,,,,,
Nancy Sinatra & Lee Hazlewood,23,,,,,,,
Big Punisher Featuring Joe,23,,,,,,,
Saraya,23,,,,,,,
Humble Pie,23,,,,,,,
Flatt & Scruggs,23,,,,,,,
Johnny Cymbal,23,,,,,,,
Leroy Van Dyke,23,,,,,,,
Meek Mill,23,,,,,,,
Saliva,23,,,,,,,
Grand Puba,23,,,,,,,
Skyy,23,,,,,,,
Sam Harris,23,,,,,,,
Head East,23,,,,,,,
Cate Bros.,23,,,,,,,
The Knickerbockers,23,,,,,,,
Bob Lind,23,,,,,,,
Machine Gun Kelly x Camila Cabello,23,,,,,,,
Becky G,23,,,,,,,
Jay-Z, Rihanna & Kanye West,23,,,,,,
Fabolous Featuring The-Dream,23,,,,,,,
Billy Ray Cyrus With Miley Cyrus,23,,,,,,,
Fabolous Featuring Mike Shorey & Lil' Mo,23,,,,,,,
Susanna Hoffs,23,,,,,,,
Traveling Wilburys,23,,,,,,,
Joe South and The Believers,23,,,,,,,
Dale Hawkins,23,,,,,,,
Blake Shelton Featuring Gwen Stefani,23,,,,,,,
Marshmello & Kane Brown,23,,,,,,,
Josh Kelley,23,,,,,,,
Lil' Kim,23,,,,,,,
MoKenStef,23,,,,,,,
Dionne & Friends,23,,,,,,,
Jorgen Ingmann & His Guitar,23,,,,,,,
Big Brother And The Holding Company,23,,,,,,,
"The Corsairs Featuring Jay ""Bird"" Uzzell",23,,,,,,,
Nicki Minaj Featuring Drake,23,,,,,,,
Ca$h Out,23,,,,,,,
Nappy Roots Featuring Anthony Hamilton,23,,,,,,,
Jennifer Lopez Featuring Nas,23,,,,,,,
Evan And Jaron,23,,,,,,,
Frost,23,,,,,,,
Georgio,23,,,,,,,
Emmylou Harris,23,,,,,,,
The Impalas,23,,,,,,,
SpotemGottem Featuring Pooh Shiesty Or DaBaby,23,,,,,,,
Crossfade,23,,,,,,,
Jay-Z Featuring Beyonce Knowles,23,,,,,,,
EPMD,23,,,,,,,
Billie Ray Martin,23,,,,,,,
Bizarre Inc,23,,,,,,,
Technotronic,23,,,,,,,
Times Two,23,,,,,,,
Rene & Angela,23,,,,,,,
Big Country,23,,,,,,,
Joe Cocker And Jennifer Warnes,23,,,,,,,
Lee Ritenour,23,,,,,,,
"Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",23,,,,,,,
Plies Featuring Akon,23,,,,,,,
Franz Ferdinand,23,,,,,,,
Riff,23,,,,,,,
Timmy Thomas,23,,,,,,,
Chase,23,,,,,,,
The Hesitations,23,,,,,,,
Terry Stafford,23,,,,,,,
Nelly & Florida Georgia Line,23,,,,,,,
Keyshia Cole Featuring Missy Elliott & Lil Kim,23,,,,,,,
50 Cent Featuring Olivia,23,,,,,,,
Patti LaBelle & Michael McDonald,23,,,,,,,
Dr. Buzzard's Original Savannah Band,23,,,,,,,
Sammi Smith,23,,,,,,,
Bruno Mars & Cardi B,23,,,,,,,
Sia Featuring Kendrick Lamar,23,,,,,,,
Usher Featuring Juicy J,23,,,,,,,
Mario Featuring Gucci Mane & Sean Garrett,23,,,,,,,
Pharrell Featuring Jay-Z,23,,,,,,,
Blind Melon,23,,,,,,,
Philip Bailey With Phil Collins,23,,,,,,,
The Kings,23,,,,,,,
The Captain & Tennille,23,,,,,,,
Maurice Williams & The Zodiacs,23,,,,,,,
Robert Mitchum,23,,,,,,,
Ketty Lester,23,,,,,,,
Bobby Edwards,23,,,,,,,
Zara Larsson & MNEK,23,,,,,,,
Bo Bice,23,,,,,,,
Lil' Flip Featuring Lea,23,,,,,,,
Intro,23,,,,,,,
M/A/R/R/S,23,,,,,,,
T-Connection,23,,,,,,,
Nicki Minaj Featuring Lil Wayne,23,,,,,,,
Ludacris Featuring Mystikal & Infamous 2.0,23,,,,,,,
Oleta Adams,23,,,,,,,
Wayne Newton And The Newton Brothers,23,,,,,,,
The Routers,23,,,,,,,
Parker McCollum,23,,,,,,,
Jhene Aiko Featuring H.E.R.,23,,,,,,,
Keith Urban Featuring Carrie Underwood,23,,,,,,,
Gym Class Heroes Featuring Neon Hitch,23,,,,,,,
P. Diddy Featuring Usher & Loon,23,,,,,,,
LeRoux,22,,,,,,,
Dusk,22,,,,,,,
Barry McGuire,22,,,,,,,
The Serendipity Singers,22,,,,,,,
Lil Tjay Featuring 6LACK,22,,,,,,,
CJ,22,,,,,,,
JACKBOYS Featuring Young Thug,22,,,,,,,
Steve Forbert,22,,,,,,,
Brooklyn Bridge,22,,,,,,,
Ruth B,22,,,,,,,
Katharine McPhee,22,,,,,,,
The Communards,22,,,,,,,
Willie Hutch,22,,,,,,,
Uriah Heep,22,,,,,,,
Hank Locklin,22,,,,,,,
BENEE Featuring Gus Dapperton,22,,,,,,,
Ariana Grande Featuring Zedd,22,,,,,,,
Sean Paul Feat. Keyshia Cole,22,,,,,,,
Bryan Adams/Rod Stewart/Sting,22,,,,,,,
Suzi Quatro & Chris Norman,22,,,,,,,
Dean Friedman,22,,,,,,,
Minnie Riperton,22,,,,,,,
B. Bumble & The Stingers,22,,,,,,,
Gene Autry,22,,,,,,,
Billie Eilish & Khalid,22,,,,,,,
Ariana Grande & The Weeknd,22,,,,,,,
Lil Wayne Featuring Drake & Future,22,,,,,,,
The Blackout Allstars,22,,,,,,,
Grace Jones,22,,,,,,,
Latimore,22,,,,,,,
Twista Featuring Kanye West & Jamie Foxx,22,,,,,,,
Grayson Hugh,22,,,,,,,
The Reflections,22,,,,,,,
Marshmello Featuring Khalid,22,,,,,,,
Kesha,22,,,,,,,
Gucci Mane Featuring Drake,22,,,,,,,
T-Pain Featuring Akon,22,,,,,,,
Diddy Featuring Keyshia Cole,22,,,,,,,
Eve Featuring Alicia Keys,22,,,,,,,
Chad Kroeger Featuring Josey Scott,22,,,,,,,
Lo-Key?,22,,,,,,,
Curtis Stigers,22,,,,,,,
Ivan Neville,22,,,,,,,
Jan Hammer,22,,,,,,,
Outlaws,22,,,,,,,
Gallagher And Lyle,22,,,,,,,
Mouth & MacNeal,22,,,,,,,
Spiral Starecase,22,,,,,,,
Ned Miller,22,,,,,,,
The Fiestas,22,,,,,,,
Migos Featuring Gucci Mane,22,,,,,,,
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,22,,,,,,,
Kirko Bangz,22,,,,,,,
Aldo Nova,22,,,,,,,
Eruption,22,,,,,,,
Ella Fitzgerald,22,,,,,,,
Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban,22,,,,,
Avenged Sevenfold,22,,,,,,,
Kanye West, Jay-Z, Big Sean,22,,,,,
Twista,22,,,,,,,
Suzanne Vega,22,,,,,,,
Al Caiola And His Orchestra,22,,,,,,,
The 5 Stairsteps,22,,,,,,,
Merrilee Rush & The Turnabouts,22,,,,,,,
Pentatonix,22,,,,,,,
I LOVE MAKONNEN Featuring Drake,22,,,,,,,
B2K & P. Diddy,22,,,,,,,
Saigon Kick,22,,,,,,,
The Sunshine Company,22,,,,,,,
Buster Brown,22,,,,,,,
Chris Young + Kane Brown,22,,,,,,,
Jon Bellion,22,,,,,,,
Akon Featuring Colby O'Donis & Kardinal Offishall,22,,,,,,,
Plies Featuring T-Pain,22,,,,,,,
Christion,22,,,,,,,
Positive K,22,,,,,,,
The Belle Stars,22,,,,,,,
Gary Toms Empire,22,,,,,,,
Small Faces,22,,,,,,,
lovelytheband,22,,,,,,,
Selena Gomez X Marshmello,22,,,,,,,
French Montana Featuring Rick Ross, Drake, Lil Wayne,22,,,,,
Tyga Featuring Lil Wayne,22,,,,,,,
Jamie Foxx Featuring Ludacris,22,,,,,,,
Ideal,22,,,,,,,
Joan Osborne,22,,,,,,,
De La Soul,22,,,,,,,
Linda Ronstadt & James Ingram,22,,,,,,,
The Reddings,22,,,,,,,
Nielsen/Pearson,22,,,,,,,
J. Frank Wilson and The Cavaliers,22,,,,,,,
The Presidents,22,,,,,,,
Queen Naija,22,,,,,,,
DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne,22,,,,,
Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors,22,,,,,,
Paula DeAnda Featuring The DEY,22,,,,,,,
Waterfront,22,,,,,,,
GTR,22,,,,,,,
MFSB Featuring The Three Degrees,22,,,,,,,
Wednesday,22,,,,,,,
Syndicate Of Sound,22,,,,,,,
Cliff Nobles & Co.,22,,,,,,,
Chris Brown Featuring Usher & Rick Ross,22,,,,,,,
Zedd Featuring Hayley Williams,22,,,,,,,
Lil Wayne Featuring Detail,22,,,,,,,
Havana Brown Featuring Pitbull,22,,,,,,,
The Veronicas,22,,,,,,,
Plies Featuring Ne-Yo,22,,,,,,,
The Electric Prunes,22,,,,,,,
King Curtis And The Noble Knights,22,,,,,,,
Drake Featuring Nicki Minaj,22,,,,,,,
Keri Hilson Featuring Lil Wayne,22,,,,,,,
Lil Jon & The East Side Boyz Featuring Usher & Ludacris,22,,,,,,,
Trick Daddy Featuring Lil Jon & Twista,22,,,,,,,
N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato,22,,,,,
Biz Markie,22,,,,,,,
Mike Post featuring Larry Carlton,22,,,,,,,
Peter Mccann,22,,,,,,,
The Village Stompers,22,,,,,,,
Lil Uzi Vert Featuring Nicki Minaj,22,,,,,,,
Passion Pit,22,,,,,,,
Eric Benet Featuring Tamia,22,,,,,,,
Wham! Featuring George Michael,22,,,,,,,
Paul McCartney And Michael Jackson,22,,,,,,,
Marshmello X Jonas Brothers,22,,,,,,,
BRS Kash,22,,,,,,,
T.I. Featuring Lil Wayne,22,,,,,,,
Bad Meets Evil Featuring Bruno Mars,22,,,,,,,
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,22,,,,,,,
Shop Boyz,22,,,,,,,
Louis Armstrong,21,,,,,,,
Stevie Nicks With Tom Petty And The Heartbreakers,21,,,,,,,
Louis Prima And Keely Smith,21,,,,,,,
Kane Brown With Swae Lee & Khalid,21,,,,,,,
Surfaces,21,,,,,,,
Lil Baby & DaBaby,21,,,,,,,
N*E*R*D & Rihanna,21,,,,,,,
KONGOS,21,,,,,,,
Nivea Featuring Lil Jon & YoungBloodZ,21,,,,,,,
Eamon,21,,,,,,,
R. Kelly Featuring Jay-Z,21,,,,,,,
Brand Nubian,21,,,,,,,
The Bobbettes,21,,,,,,,
Link Wray And The Wraymen,21,,,,,,,
The Tornadoes,21,,,,,,,
iLoveMemphis,21,,,,,,,
Bow Wow Featuring Chris Brown & Johnta Austin,21,,,,,,,
Frankie J Featuring Baby Bash,21,,,,,,,
Carl Anderson & Gloria Loring,21,,,,,,,
Isley, Jasper, Isley,21,,,,,
Tracey Ullman,21,,,,,,,
The John Hall Band,21,,,,,,,
Claudja Barry,21,,,,,,,
Silver,21,,,,,,,
Jim Weatherly,21,,,,,,,
Sheb Wooley,21,,,,,,,
Maluma & The Weeknd,21,,,,,,,
Y2K & bbno$,21,,,,,,,
Blake Shelton Featuring Trace Adkins,21,,,,,,,
Maroon 5 Featuring SZA,21,,,,,,,
A Boogie Wit da Hoodie Featuring Kodak Black,21,,,,,,,
The Ready Set,21,,,,,,,
Chingy Featuring Ludacris & Snoop Dogg,21,,,,,,,
Jennifer Lopez Featuring LL Cool J,21,,,,,,,
Myron,21,,,,,,,
Kid Frost,21,,,,,,,
H.E.R.,21,,,,,,,
Nicky Jam x J Balvin,21,,,,,,,
Sage The Gemini,21,,,,,,,
Orianthi,21,,,,,,,
Faster Pussycat,21,,,,,,,
Jefferson,21,,,,,,,
Plastic Ono Band,21,,,,,,,
Los Bravos,21,,,,,,,
Post Malone Featuring Young Thug,21,,,,,,,
DJ Khaled Featuring Rihanna & Bryson Tiller,21,,,,,,,
Field Mob Featuring Ciara,21,,,,,,,
Destiny's Child Featuring T.I. & Lil Wayne,21,,,,,,,
Cam'Ron Featuring Juelz Santana,21,,,,,,,
Montell Jordan Feat. Master P & Silkk The Shocker,21,,,,,,,
Boys Club,21,,,,,,,
Patti Smith Group,21,,,,,,,
Raymond Lefevre and His Orchestra,21,,,,,,,
Mar-Keys,21,,,,,,,
Jerry Wallace With The Jewels,21,,,,,,,
Tool,21,,,,,,,
Maluma,21,,,,,,,
Usher Featuring Plies,21,,,,,,,
Paulina Rubio,21,,,,,,,
Theola Kilgore,21,,,,,,,
John D. Loudermilk,21,,,,,,,
Karol G & Nicki Minaj,21,,,,,,,
Blake Shelton Featuring Pistol Annies & Friends,21,,,,,,,
Boys Like Girls Featuring Taylor Swift,21,,,,,,,
Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,21,,,,,,,
DJ Snake Featuring Bipolar Sunshine,21,,,,,,,
Amy Grant With Vince Gill,21,,,,,,,
Derek,21,,,,,,,
Kim Weston,21,,,,,,,
The Chipmunks With David Seville,21,,,,,,,
The G-Clefs,21,,,,,,,
Carly Pearce,21,,,,,,,
DJ Snake & AlunaGeorge,21,,,,,,,
Kanye West Featuring T-Pain,21,,,,,,,
Rich Boy Featuring Polow Da Don,21,,,,,,,
Lil Rob,21,,,,,,,
D-Mob Introducing Cathy Dennis,21,,,,,,,
Mac McAnally,21,,,,,,,
Slim Harpo,21,,,,,,,
Diplo Presents Thomas Wesley Featuring Morgan Wallen,21,,,,,,,
Lupe Fiasco Featuring Matthew Santos,21,,,,,,,
Flo Rida Featuring will.i.am,21,,,,,,,
"Missy ""Misdemeanor"" Elliott Featuring NAS", EVE & Q-Tip,21,,,,,,
12 Gauge,21,,,,,,,
Jomanda,21,,,,,,,
Timothy B. Schmit,21,,,,,,,
Peter Cetera With Amy Grant,21,,,,,,,
KC,21,,,,,,,
The Elton John Band,21,,,,,,,
The James Gang,21,,,,,,,
Skylark,21,,,,,,,
The Unifics,21,,,,,,,
Rod Bernard,21,,,,,,,
Jason Derulo Featuring Snoop Dogg,21,,,,,,,
Seether Featuring Amy Lee,21,,,,,,,
Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya,21,,,,,,
The Kinleys,21,,,,,,,
Eighth Wonder,21,,,,,,,
Julio Iglesias And Willie Nelson,21,,,,,,,
Deborah Allen,21,,,,,,,
Utopia,21,,,,,,,
The Innocents,21,,,,,,,
Jerry Butler & Brenda Lee Eager,21,,,,,,,
The First Edition,21,,,,,,,
Safaris with The Phantom's Band,21,,,,,,,
GoldLink Featuring Brent Faiyaz & Shy Glizzy,21,,,,,,,
Sheppard,21,,,,,,,
Jidenna Featuring Roman GianArthur,21,,,,,,,
Zendaya,21,,,,,,,
Hellogoodbye,21,,,,,,,
Crush,21,,,,,,,
Phil Collins and Marilyn Martin,21,,,,,,,
Taco,21,,,,,,,
Bernadette Peters,21,,,,,,,
J.D. Souther,21,,,,,,,
Lolita,21,,,,,,,
Patti Drew,21,,,,,,,
Kendrick Lamar & SZA,21,,,,,,,
David Banner Featuring Chris Brown,21,,,,,,,
Bill Medley & Jennifer Warnes,21,,,,,,,
Billy Vera & The Beaters,21,,,,,,,
Bob Seger System,21,,,,,,,
Mike Clifford,21,,,,,,,
Debbie Reynolds,21,,,,,,,
Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny,21,,,
Zay Hilfigerrr & Zayion McCall,21,,,,,,,
Corinne Bailey Rae,21,,,,,,,
Vitamin C,21,,,,,,,
Mista,21,,,,,,,
Blur,21,,,,,,,
Concrete Blonde,21,,,,,,,
Patrick Swayze (Featuring Wendy Fraser),21,,,,,,,
Nancy Martinez,21,,,,,,,
Alison Moyet,21,,,,,,,
David Dundas,21,,,,,,,
David Geddes,21,,,,,,,
Freddy King,21,,,,,,,
Lil Durk,21,,,,,,,
Mitchell Tenpenny,21,,,,,,,
DeJ Loaf,21,,,,,,,
Big Sean Featuring Chris Brown,21,,,,,,,
Cherish Featuring Sean Paul Of The YoungBloodZ,21,,,,,,,
Eminem Featuring Nate Dogg,21,,,,,,,
Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),21,,,,,,,
Dru Down,21,,,,,,,
Scarface,21,,,,,,,
DNA Featuring Suzanne Vega,21,,,,,,,
Ace Frehley,21,,,,,,,
Prelude,21,,,,,,,
The Music Explosion,21,,,,,,,
The Dixiebelles,21,,,,,,,
Migos, Nicki Minaj & Cardi B,21,,,,,,
21 Savage & Metro Boomin Featuring Future,21,,,,,,,
Lil Wayne Featuring Cory Gunz,21,,,,,,,
Santana Featuring Chad Kroeger,21,,,,,,,
Keane,21,,,,,,,
Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar,21,,,,,
Ta Mara & The Seen,21,,,,,,,
Bobby Russell,21,,,,,,,
The Elgins,21,,,,,,,
Kenny Ball and his Jazzmen,21,,,,,,,
Calvin Harris & Dua Lipa,21,,,,,,,
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,21,,,,,,,
OK Go,21,,,,,,,
Krewella,21,,,,,,,
Fabolous Featuring Ne-Yo,21,,,,,,,
Bow Wow Featuring Ciara,21,,,,,,,
Alana Davis,20,,,,,,,
Foxy Brown Featuring Jay-Z,20,,,,,,,
Nonchalant,20,,,,,,,
Junior M.A.F.I.A.,20,,,,,,,
Missjones,20,,,,,,,
Fu-Schnickens,20,,,,,,,
DJ Miko,20,,,,,,,
Celine Dion And Peabo Bryson,20,,,,,,,
Rosanne Cash,20,,,,,,,
John Sebastian,20,,,,,,,
Lainey Wilson,20,,,,,,,
Auli'i Cravalho,20,,,,,,,
Kenny Chesney Featuring P!nk,20,,,,,,,
Jay Sean Featuring Sean Paul & Lil Jon,20,,,,,,,
Calvin Harris & Disciples,20,,,,,,,
YG Featuring Drake,20,,,,,,,
Naughty Boy Featuring Sam Smith,20,,,,,,,
August Alsina Featuring Trinidad James,20,,,,,,,
B.o.B Featuring T.I. & Juicy J,20,,,,,,,
Trinidad James,20,,,,,,,
Drake Featuring The Weeknd,20,,,,,,,
Justin Bieber Featuring Usher,20,,,,,,,
Zac Brown Band Featuring Jimmy Buffett,20,,,,,,,
Flyleaf,20,,,,,,,
2 Pistols Featuring T-Pain & Tay Dizm,20,,,,,,,
Kanye West Featuring Dwele,20,,,,,,,
Chris Brown Featuring Jay Biz,20,,,,,,,
Diddy Featuring Christina Aguilera,20,,,,,,,
Birdman & Lil Wayne,20,,,,,,,
LeToya,20,,,,,,,
Webbie Featuring Bun B,20,,,,,,,
Juvenile, Wacko & Skip,20,,,,,,
Murphy Lee Featuring Jermaine Dupri,20,,,,,,,
David Banner Featuring Lil' Flip,20,,,,,,,
Floetry,20,,,,,,,
Christina Aguilera Featuring Redman,20,,,,,,,
Faith Evans Featuring Carl Thomas,20,,,,,,,
Eric Heatherly,20,,,,,,,
Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,20,,,,,,,
Mr. President,20,,,,,,,
SWV (Featuring Puff Daddy),20,,,,,,,
L.B.C. Crew Feat. Tray D & South Sentrell,20,,,,,,,
Folk Implosion,20,,,,,,,
The Mighty Dub Katz,20,,,,,,,
Bruce Hornsby,20,,,,,,,
The Flaming Lips,20,,,,,,,
Collage,20,,,,,,,
Mista Grimm,20,,,,,,,
k.d. lang,20,,,,,,,
George Michael/Elton John,20,,,,,,,
The Wing And A Prayer Fife & Drum Corps.,20,,,,,,,
The Buoys,20,,,,,,,
The O'Kaysions,20,,,,,,,
Darrell Banks,20,,,,,,,
The Honeycombs,20,,,,,,,
The Capris,20,,,,,,,
Coi Leray Featuring Lil Durk,20,,,,,,,
Pedro Capo X Farruko,20,,,,,,,
Summer Walker X Drake,20,,,,,,,
The Carters,20,,,,,,,
SZA Featuring Travis Scott,20,,,,,,,
Thomas Rhett Featuring Maren Morris,20,,,,,,,
Tee Grizzley,20,,,,,,,
DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross,20,,,
A Thousand Horses,20,,,,,,,
Nicki Minaj Featuring Beyonce,20,,,,,,,
Rocko Featuring Future & Rick Ross,20,,,,,,,
Hannah Jones,20,,,,,,,
T.I. Featuring Iggy Azalea,20,,,,,,,
Tim McGraw With Taylor Swift,20,,,,,,,
Emeli Sande,20,,,,,,,
DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne,20,,,,,
James Otto,20,,,,,,,
DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies,20,,,,,
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,20,,,,,,,
Bow Wow Featuring J-Kwon & Jermaine Dupri,20,,,,,,,
Jadakiss Featuring Anthony Hamilton,20,,,,,,,
Jermaine Dupri & Ludacris,20,,,,,,,
Erick Sermon Featuring Marvin Gaye,20,,,,,,,
Clint Black With Steve Wariner,20,,,,,,,
Jordan Knight,20,,,,,,,
Case & Joe,20,,,,,,,
Leah Andreone,20,,,,,,,
K.P. & Envyi,20,,,,,,,
Militia,20,,,,,,,
Gary Barlow,20,,,,,,,
Brian McKnight Featuring Mase,20,,,,,,,
Case Featuring Foxxy Brown,20,,,,,,,
Brandy, Tamia, Gladys Knight & Chaka Khan,20,,,,,
Mazzy Star,20,,,,,,,
The Storm,20,,,,,,,
Device,20,,,,,,,
Tony Camillo's Bazuka,20,,,,,,,
Rene & Rene,20,,,,,,,
The Status Quo,20,,,,,,,
Steve & Eydie,20,,,,,,,
Chase Rice Featuring Florida Georgia Line,20,,,,,,,
Parmalee x Blanco Brown,20,,,,,,,
Ingrid Andress,20,,,,,,,
XXXTENTACION Featuring Trippie Redd,20,,,,,,,
The Weeknd & Kendrick Lamar,20,,,,,,,
LANCO,20,,,,,,,
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,20,,,,,,,
Janet Featuring BLACKstreet,20,,,,,,,
Drake Featuring The Throne,20,,,,,,,
Miranda Lambert Duet With Carrie Underwood,20,,,,,,,
Aloe Blacc,20,,,,,,,
Maino Featuring T-Pain,20,,,,,,,
Kelly Rowland Featuring Eve,20,,,,,,,
Bow Wow Featuring T-Pain & Johnta Austin,20,,,,,,,
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),20,,,,,,,
Brad Paisley Featuring Dolly Parton,20,,,,,,,
Chamillionaire Featuring Lil' Flip,20,,,,,,,
Ludacris Featuring Bobby Valentino,20,,,,,,,
Brooke Valentine Featuring Lil Jon & Big Boi,20,,,,,,,
Young Gunz,20,,,,,,,
Alan Jackson & Jimmy Buffett,20,,,,,,,
"Missy ""Misdemeanor"" Elliott Featuring Ludacris",20,,,,,,,
'N Sync Featuring Nelly,20,,,,,,,
Fat Joe Featuring R. Kelly,20,,,,,,,
Willa Ford,20,,,,,,,
Koffee Brown,20,,,,,,,
Avant Featuring KeKe Wyatt,20,,,,,,,
'N Sync & Gloria Estefan,20,,,,,,,
Master P Featuring Sons Of Funk,20,,,,,,,
Jay-Z Featuring BLACKstreet,20,,,,,,,
White Town,20,,,,,,,
BoDeans,20,,,,,,,
The Dove Shack,20,,,,,,,
Subway (Featuring 702),20,,,,,,,
Snoop Doggy Dogg,20,,,,,,,
DRS,20,,,,,,,
The Proclaimers,20,,,,,,,
Captain Hollywood Project,20,,,,,,,
Gerald Levert (Duet With Eddie Levert),20,,,,,,,
Robin McNamara,20,,,,,,,
Troy Shondell,20,,,,,,,
Poni-Tails,20,,,,,,,
Jimmy Darren,20,,,,,,,
SZA Featuring Ty Dolla $ign,20,,,,,,,
Juice WRLD x Marshmello,20,,,,,,,
Lady Gaga & Ariana Grande,20,,,,,,,
H.E.R. Featuring YG,20,,,,,,,
Blanco Brown,20,,,,,,,
Sech, Darell, Nicky Jam, Ozuna & Anuel AA,20,,,,
Pardison Fontaine Featuring Cardi B,20,,,,,,,
Ozuna & Romeo Santos,20,,,,,,,
Maroon 5 Featuring Future,20,,,,,,,
Big Sean Featuring Drake,20,,,,,,,
Nicki Minaj Featuring Drake & Lil Wayne,20,,,,,,,
Kent Jones,20,,,,,,,
Chris Young Duet With Cassadee Pope,20,,,,,,,
Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,20,,,,,
Jason Aldean With Luke Bryan & Eric Church,20,,,,,,,
Miranda Cosgrove,20,,,,,,,
Drake Featuring T.I. & Swizz Beatz,20,,,,,,,
