artist,weeks,,,,,,,
Sheryl Crow,252,,,,,,,
The O'Jays,252,,,,,,,
Bobby Rydell,251,,,,,,,
Al Martino,251,,,,,,,
Pat Boone,250,,,,,,,
Little River Band,248,,,,,,,
R.E.M.,247,,,,,,,
Eric Clapton,247,,,,,,,
The Cars,245,,,,,,,
Jerry Butler,244,,,,,,,
Brandy,243,,,,,,,
Chris Young,242,,,,,,,
Trey Songz,241,,,,,,,
Carly Simon,239,,,,,,,
John Mayer,239,,,,,,,
The Miracles,238,,,,,,,
T.I.,237,,,,,,,
matchbox twenty,235,,,,,,,
Tina Turner,235,,,,,,,
Dan + Shay,235,,,,,,,
Survivor,234,,,,,,,
Johnny Tillotson,234,,,,,,,
George Michael,232,,,,,,,
The 4 Seasons,232,,,,,,,
The Who,231,,,,,,,
Johnny Mathis,231,,,,,,,
Goo Goo Dolls,229,,,,,,,
Steve Winwood,228,,,,,,,
Darius Rucker,227,,,,,,,
Jonas Brothers,226,,,,,,,
Air Supply,226,,,,,,,
Alice Cooper,226,,,,,,,
En Vogue,225,,,,,,,
New Edition,225,,,,,,,
INXS,225,,,,,,,
Daughtry,223,,,,,,,
Glee Cast,223,,,,,,,
Gene Pitney,222,,,,,,,
Shawn Mendes,220,,,,,,,
Sugarland,220,,,,,,,
Joe Simon,219,,,,,,,
J. Cole,218,,,,,,,
B.J. Thomas,218,,,,,,,
Don Henley,218,,,,,,,
The Kinks,217,,,,,,,
Sam Hunt,217,,,,,,,
Lee Brice,217,,,,,,,
Bobby Goldsboro,216,,,,,,,
Billy Ocean,216,,,,,,,
The Hollies,215,,,,,,,
Dr. Hook,215,,,,,,,
The Marvelettes,215,,,,,,,
Lenny Kravitz,215,,,,,,,
The Moody Blues,215,,,,,,,
Jackson 5,213,,,,,,,
Travis Scott,213,,,,,,,
Lifehouse,213,,,,,,,
Paula Abdul,212,,,,,,,
Bette Midler,212,,,,,,,
Trace Adkins,211,,,,,,,
Al Green,211,,,,,,,
Dean Martin,211,,,,,,,
Babyface,210,,,,,,,
Toto,210,,,,,,,
Selena Gomez,210,,,,,,,
The Righteous Brothers,208,,,,,,,
Expose,208,,,,,,,
The Grass Roots,207,,,,,,,
Nat King Cole,207,,,,,,,
Jodeci,207,,,,,,,
The Guess Who,206,,,,,,,
Bobby Vee,206,,,,,,,
Bob Seger,206,,,,,,,
Morgan Wallen,206,,,,,,,
Joe Tex,206,,,,,,,
Bobby Brown,206,,,,,,,
The Dave Clark Five,206,,,,,,,
Dua Lipa,206,,,,,,,
Sting,205,,,,,,,
Frankie Avalon,205,,,,,,,
Cheap Trick,203,,,,,,,
SWV,201,,,,,,,
Wings,201,,,,,,,
Lil Uzi Vert,201,,,,,,,
The Fray,200,,,,,,,
Color Me Badd,200,,,,,,,
Taylor Dayne,199,,,,,,,
Ricky Nelson,199,,,,,,,
Jr. Walker & The All Stars,199,,,,,,,
The Shirelles,198,,,,,,,
B.B. King,198,,,,,,,
Cyndi Lauper,198,,,,,,,
Depeche Mode,197,,,,,,,
OutKast,197,,,,,,,
Metallica,197,,,,,,,
Paul Davis,197,,,,,,,
Johnny Cash,197,,,,,,,
Tom Petty And The Heartbreakers,196,,,,,,,
Billy Idol,195,,,,,,,
Juice WRLD,194,,,,,,,
Gary Allan,194,,,,,,,
New Kids On The Block,193,,,,,,,
Ginuwine,193,,,,,,,
America,193,,,,,,,
Bobby Bland,193,,,,,,,
Poison,192,,,,,,,
Jermaine Jackson,192,,,,,,,
Robert Palmer,191,,,,,,,
Roxette,191,,,,,,,
Vanessa Williams,191,,,,,,,
Creed,191,,,,,,,
Petula Clark,190,,,,,,,
Ace Of Base,190,,,,,,,
Laura Branigan,190,,,,,,,
Lil Baby,189,,,,,,,
KC And The Sunshine Band,188,,,,,,,
Tommy James And The Shondells,188,,,,,,,
Salt-N-Pepa,188,,,,,,,
The Stylistics,188,,,,,,,
Jon Secada,187,,,,,,,
Herman's Hermits,187,,,,,,,
50 Cent,187,,,,,,,
Rick Nelson,187,,,,,,,
Justin Moore,187,,,,,,,
Ray Stevens,186,,,,,,,
Jan & Dean,186,,,,,,,
Cole Swindell,186,,,,,,,
Jefferson Starship,186,,,,,,,
Sam Smith,186,,,,,,,
Tommy Roe,186,,,,,,,
Sara Evans,185,,,,,,,
Jackson Browne,185,,,,,,,
Colbie Caillat,185,,,,,,,
Keith Sweat,184,,,,,,,
Joe Nichols,184,,,,,,,
Sarah McLachlan,184,,,,,,,
Future,184,,,,,,,
Bob Dylan,184,,,,,,,
Ellie Goulding,183,,,,,,,
Donny Osmond,182,,,,,,,
Guns N' Roses,182,,,,,,,
Bad Company,182,,,,,,,
James Taylor,182,,,,,,,
Savage Garden,181,,,,,,,
Anita Baker,181,,,,,,,
ZZ Top,181,,,,,,,
Paul Simon,181,,,,,,,
War,181,,,,,,,
Smokey Robinson & The Miracles,180,,,,,,,
Old Dominion,180,,,,,,,
Dion,180,,,,,,,
Dan Fogelberg,180,,,,,,,
Khalid,179,,,,,,,
The Alan Parsons Project,179,,,,,,,
Loverboy,178,,,,,,,
Santana,178,,,,,,,
Otis Redding,178,,,,,,,
The Band Perry,178,,,,,,,
Engelbert Humperdinck,177,,,,,,,
Tevin Campbell,177,,,,,,,
Marty Robbins,177,,,,,,,
Hootie & The Blowfish,177,,,,,,,
Tavares,177,,,,,,,
Simon & Garfunkel,176,,,,,,,
The Police,176,,,,,,,
Etta James,176,,,,,,,
Cliff Richard,176,,,,,,,
Kendrick Lamar,175,,,,,,,
Barry White,175,,,,,,,
Steely Dan,175,,,,,,,
Captain & Tennille,175,,,,,,,
Eurythmics,175,,,,,,,
The J. Geils Band,174,,,,,,,
Stevie B,174,,,,,,,
Ke$ha,173,,,,,,,
George Benson,173,,,,,,,
Nelly,173,,,,,,,
'N Sync,172,,,,,,,
Eddie Rabbitt,172,,,,,,,
Halsey,172,,,,,,,
YoungBoy Never Broke Again,171,,,,,,,
The Platters,171,,,,,,,
Mary Wells,171,,,,,,,
Boz Scaggs,170,,,,,,,
The Dells,170,,,,,,,
The Steve Miller Band,169,,,,,,,
Jewel,169,,,,,,,
Debbie Gibson,168,,,,,,,
Jody Watley,168,,,,,,,
The Lettermen,168,,,,,,,
Jimmie Rodgers,168,,,,,,,
Howard Jones,167,,,,,,,
Culture Club,167,,,,,,,
The Monkees,166,,,,,,,
Perry Como,166,,,,,,,
Jay & The Americans,165,,,,,,,
Olivia Rodrigo,165,,,,,,,
Little Big Town,164,,,,,,,
Joe,164,,,,,,,
Sly & The Family Stone,163,,,,,,,
Solomon Burke,163,,,,,,,
Ben E. King,163,,,,,,,
Rodney Atkins,163,,,,,,,
Foo Fighters,162,,,,,,,
XXXTENTACION,162,,,,,,,
Amy Grant,162,,,,,,,
Glenn Frey,162,,,,,,,
Johnnie Taylor,161,,,,,,,
Brian Hyland,161,,,,,,,
Dru Hill,161,,,,,,,
Ohio Players,161,,,,,,,
Melissa Etheridge,161,,,,,,,
George Harrison,161,,,,,,,
Josh Turner,160,,,,,,,
Green Day,160,,,,,,,
Sean Paul,160,,,,,,,
M.C. Hammer,159,,,,,,,
Chuck Berry,159,,,,,,,
UB40,159,,,,,,,
twenty one pilots,159,,,,,,,
Andy Gibb,159,,,,,,,
Conway Twitty,158,,,,,,,
Carole King,158,,,,,,,
Kim Carnes,158,,,,,,,
Lil Wayne,158,,,,,,,
Lesley Gore,157,,,,,,,
Dolly Parton,157,,,,,,,
Ronnie Milsap,157,,,,,,,
Juice Newton,156,,,,,,,
The Chi-lites,156,,,,,,,
Rob Thomas,156,,,,,,,
Panic! At The Disco,156,,,,,,,
Jo Dee Messina,156,,,,,,,
Charlie Rich,156,,,,,,,
The Cover Girls,155,,,,,,,
Tony Bennett,155,,,,,,,
Peaches & Herb,155,,,,,,,
